Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|P14207|FOLR2_HUMAN	P14207	FOLR2_HUMAN	FOLR2	255	Homo sapiens	Folate receptor beta	1:Experimental evidence at protein level	5.49	0.9841	0.9990	1	0	1	1	0	1	     0	     0	     0	14K(304.2072), 3C(57.0215), 4C(57.0215), N-term(304.2072)		sp|P41439|FOLR3_HUMAN	32878.0820	85410.7031	23643.2793	5239.9448	4770.0190	1944.4120	0.0000	1611.2542	2409.8384	5203.8643	2988.9111	5227.7568	9293.6670	1331.9752	3039.0850	0.0000	6021.4531	3415.2498
sp|P14550|AK1A1_HUMAN	P14550	AK1A1_HUMAN	AKR1A1	325	Homo sapiens	Aldo-keto reductase family 1 member A1	1:Experimental evidence at protein level	4.62	0.9841	0.9990	1	1	1	1	1	1	207225	207225	207225	N-term(304.2072)			8378.8438	15931.2900	6082.3911	0.0000	6467.6431	1166.5568	0.0000	0.0000	1320.1274	5196.0127	2131.0796	12104.4131	11977.8418	2498.1638	1697.6129	2828.8037	9068.2744	6624.9409
sp|P17612|KAPCA_HUMAN	P17612	KAPCA_HUMAN	PRKACA	351	Homo sapiens	cAMP-dependent protein kinase catalytic subunit alpha	1:Experimental evidence at protein level	2.56	0.9841	0.9990	1	0	1	2	0	2	760084	     0	760084	1K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P22612|KAPCG_HUMAN, sp|P22694|KAPCB_HUMAN	80907.6523	164771.3984	72662.3691	19950.3496	107622.3438	13836.0010	9975.7024	6036.5105	13862.6812	28996.8916	34977.1416	94976.8438	123035.5664	25909.2529	21701.4795	21190.3896	111295.6992	73081.7637
sp|P18505|GBRB1_HUMAN	P18505	GBRB1_HUMAN	GABRB1	474	Homo sapiens	Gamma-aminobutyric acid receptor subunit beta-1	1:Experimental evidence at protein level	2.53	0.9841	0.9990	1	0	1	1	0	1	338770	     0	338770	N-term(304.2072)		sp|P28472|GBRB3_HUMAN, sp|P47870|GBRB2_HUMAN	13747.3340	18370.5547	6489.9126	2255.3828	6296.3647	2997.0259	1951.4569	2047.0397	2314.3914	7160.7192	3631.4978	8995.5352	12167.3369	2567.2778	2183.0657	2175.0571	8442.3652	6514.6958
sp|P20962|PTMS_HUMAN	P20962	PTMS_HUMAN	PTMS	102	Homo sapiens	Parathymosin	1:Experimental evidence at protein level	10.78	0.9841	0.9990	1	1	1	2	2	2	1080572	1080572	1080572	11K(304.2072), N-term(304.2072)			72489.5078	177542.5000	101133.6250	20039.3018	16183.0449	7841.5850	5959.3420	4746.4290	6071.2097	8057.2502	15084.2817	13057.7441	51355.3887	4724.8357	14206.1138	4766.2037	29023.5088	24638.8203
sp|P22748|CAH4_HUMAN	P22748	CAH4_HUMAN	CA4	312	Homo sapiens	Carbonic anhydrase 4	1:Experimental evidence at protein level	3.21	0.9841	0.9990	1	1	1	1	1	1	533735	533735	533735	10K(304.2072), N-term(304.2072)			12240.0107	38523.4062	11903.6924	2525.7292	13011.9951	1169.2083	2052.8621	3689.3779	3260.1343	12169.2998	6034.6772	24481.5391	41147.3203	2874.2224	6727.0625	4112.9937	15857.5479	15514.8633
sp|P23434|GCSH_HUMAN	P23434	GCSH_HUMAN	GCSH	173	Homo sapiens	Glycine cleavage system H protein, mitochondrial	1:Experimental evidence at protein level	5.78	0.9841	0.9990	1	1	1	1	1	1	385323	385323	385323	10K(304.2072), 2C(57.0215), N-term(304.2072)			12249.1846	28131.4707	8140.1279	1938.1744	14154.8975	8084.4155	2382.6545	2475.2615	3273.1731	6582.3755	5479.6846	18379.9160	32026.5254	10219.9160	2989.9067	6066.7637	16461.0098	10336.2998
sp|P24534|EF1B_HUMAN	P24534	EF1B_HUMAN	EEF1B2	225	Homo sapiens	Elongation factor 1-beta	1:Experimental evidence at protein level	5.78	0.9841	0.9990	1	1	1	1	1	1	204380	204380	204380	13K(304.2072), N-term(304.2072)			10282.6133	25580.5312	5177.1445	1263.5999	9807.1572	5787.0996	1052.4888	0.0000	2077.3870	2975.9697	3685.4180	10871.8105	17761.6621	5563.5117	1387.3600	2575.9973	11234.7363	9094.4551
sp|P28066|PSA5_HUMAN	P28066	PSA5_HUMAN	PSMA5	241	Homo sapiens	Proteasome subunit alpha type-5	1:Experimental evidence at protein level	7.88	0.9841	0.9990	1	1	1	1	1	1	501280	501280	501280	19K(304.2072), N-term(304.2072)			10327.5791	18531.7109	13947.7402	2490.0337	8003.2715	1187.5244	1129.6250	1035.1501	2173.6465	3260.1592	2080.4780	9423.6230	13774.6680	1897.4821	1976.7979	1453.1388	8285.6436	4301.5840
sp|P30531|SC6A1_HUMAN	P30531	SC6A1_HUMAN	SLC6A1	599	Homo sapiens	Sodium- and chloride-dependent GABA transporter 1	1:Experimental evidence at protein level	3.51	0.9841	0.9990	1	1	1	2	2	2	371191	371191	371191	19K(304.2072), 21K(304.2072), N-term(304.2072)			18632.1992	53984.3125	13213.0166	5384.8442	11691.6226	0.0000	0.0000	1458.5717	4232.1932	9952.4014	9084.2632	16548.8022	54719.6113	1141.1154	8892.4075	4189.3236	22877.9844	15841.1392
sp|P31937|3HIDH_HUMAN	P31937	3HIDH_HUMAN	HIBADH	336	Homo sapiens	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1:Experimental evidence at protein level	3.87	0.9841	0.9990	1	1	1	1	1	1	649048	649048	649048	13K(304.2072), N-term(304.2072)			21692.6875	51030.9766	16376.3457	4155.9165	10717.6475	3250.6479	2486.2842	3169.4219	3835.5891	9237.8291	6118.5195	9644.8994	21801.5742	5291.7974	5287.9082	3395.7373	16248.9482	10470.9238
sp|P49802|RGS7_HUMAN	P49802	RGS7_HUMAN	RGS7	495	Homo sapiens	Regulator of G-protein signaling 7	1:Experimental evidence at protein level	2.22	0.9841	0.9990	1	1	1	1	1	1	250021	250021	250021	11K(304.2072), N-term(304.2072)			12897.3809	25056.4668	11617.2725	2457.3545	16651.3809	0.0000	1974.0746	0.0000	2188.3940	4290.6724	5155.7295	13225.1729	29482.0820	9285.5693	6823.8281	5451.0532	22785.5664	17866.8984
sp|P55036|PSMD4_HUMAN	P55036	PSMD4_HUMAN	PSMD4	377	Homo sapiens	26S proteasome non-ATPase regulatory subunit 4	1:Experimental evidence at protein level	3.98	0.9841	0.9990	1	1	1	1	1	1	226409	226409	226409	12C(57.0215), 15K(304.2072), N-term(304.2072)			22455.3281	41997.7578	37929.0586	2767.7476	10608.2891	3272.2490	1172.4977	2637.8955	1559.8502	4857.1680	2929.8762	7577.2944	11986.5566	4188.2485	2885.9912	1856.4236	8258.0742	6294.2046
sp|P55209|NP1L1_HUMAN	P55209	NP1L1_HUMAN	NAP1L1	391	Homo sapiens	Nucleosome assembly protein 1-like 1	1:Experimental evidence at protein level	2.56	0.9841	0.9990	1	0	1	1	0	1	351823	     0	351823	N-term(304.2072)		sp|Q99733|NP1L4_HUMAN	13835.5586	19246.8398	9171.8438	1661.8646	4200.2134	3058.7329	1856.5468	1344.8246	2128.5066	3232.8577	3639.0959	6668.5181	11248.1641	4156.3354	1619.1859	1761.3451	7782.0269	6702.9873
sp|P55854|SUMO3_HUMAN	P55854	SUMO3_HUMAN	SUMO3	103	Homo sapiens	Small ubiquitin-related modifier 3	1:Experimental evidence at protein level	11.65	0.9841	0.9990	1	0	1	1	0	1	1202562	     0	1202562	12K(304.2072), N-term(304.2072)		sp|P61956|SUMO2_HUMAN, sp|Q6EEV6|SUMO4_HUMAN	29747.9336	76844.4453	84456.3359	15549.1934	22131.6523	4892.6157	6707.9229	3943.3354	5614.3574	6130.9214	14801.3350	12065.1602	46908.4961	10784.8457	28810.1230	23452.4941	46384.7344	45886.1055
sp|P60033|CD81_HUMAN	P60033	CD81_HUMAN	CD81	236	Homo sapiens	CD81 antigen	1:Experimental evidence at protein level	8.47	0.9841	0.9990	1	1	1	1	1	1	421343	421343	421343	20K(304.2072), N-term(304.2072)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|P61160|ARP2_HUMAN	P61160	ARP2_HUMAN	ACTR2	394	Homo sapiens	Actin-related protein 2	1:Experimental evidence at protein level	3.05	0.9841	0.9990	1	1	1	1	1	1	209426	209426	209426	12K(304.2072), N-term(304.2072)			11169.9004	19556.7754	8291.1865	1424.1370	8113.3560	0.0000	0.0000	0.0000	0.0000	4532.2109	2549.6094	8062.9028	12405.6113	3506.0918	1297.0903	2380.6877	13788.9502	7273.9688
sp|P61278|SMS_HUMAN	P61278	SMS_HUMAN	SST	116	Homo sapiens	Somatostatin	1:Experimental evidence at protein level	9.48	0.9841	0.9990	1	1	1	1	1	1	1086770	1086770	1086770	N-term(304.2072)			19383.6289	88758.0625	62131.5000	18092.9551	25391.0000	1201.2681	4695.3154	2473.2285	6169.7686	12509.1543	16926.2598	9389.1074	80777.3750	10448.7842	21050.4023	10851.6045	20795.6465	15513.3760
sp|P62906|RL10A_HUMAN	P62906	RL10A_HUMAN	RPL10A	217	Homo sapiens	60S ribosomal protein L10a	1:Experimental evidence at protein level	7.37	0.9841	0.9990	1	1	1	1	1	1	379898	379898	379898	12C(57.0215), 16K(304.2072), 4C(57.0215), N-term(304.2072)			32098.9492	57176.1914	12335.0830	3574.9719	15005.5234	10989.5479	2706.5500	2221.2539	2573.3755	5576.2402	5107.3789	13260.2266	28484.2012	10187.0322	7821.4507	4474.9224	11575.6270	12004.2744
sp|P84085|ARF5_HUMAN	P84085	ARF5_HUMAN	ARF5	180	Homo sapiens	ADP-ribosylation factor 5	1:Experimental evidence at protein level	5.56	0.9841	0.9990	1	1	1	1	1	1	751672	751672	751672	10K(304.2072), N-term(304.2072)			26465.3008	56063.7539	22947.0020	4850.2988	43250.6328	6646.3857	1997.7192	2560.9829	6105.1992	10730.9150	11160.3838	38947.7656	38566.1016	5435.6255	6062.3545	6502.7524	34154.5234	29985.1152
sp|Q00535|CDK5_HUMAN	Q00535	CDK5_HUMAN	CDK5	292	Homo sapiens	Cyclin-dependent kinase 5	1:Experimental evidence at protein level	3.77	0.9841	0.9990	1	1	1	1	1	1	262092	262092	262092	11K(304.2072), N-term(304.2072)			10315.3887	22130.3770	12246.8545	4375.8857	21143.6289	987.8738	1805.2009	0.0000	3078.5044	4803.6309	5536.4907	18609.6836	27922.8438	7224.6509	4297.5601	4240.9238	17234.1562	11962.9453
sp|Q04323|UBXN1_HUMAN	Q04323	UBXN1_HUMAN	UBXN1	297	Homo sapiens	UBX domain-containing protein 1	1:Experimental evidence at protein level	2.69	0.9841	0.9990	1	1	1	1	1	1	328962	328962	328962	8K(304.2072), N-term(304.2072)			16773.5566	46261.0508	9461.2900	2681.9358	3376.7139	0.0000	1851.6658	0.0000	0.0000	0.0000	1035.6199	3148.2913	4861.0845	1223.2725	1944.2373	1074.9518	2407.3313	2541.0676
sp|Q04941|PLP2_HUMAN	Q04941	PLP2_HUMAN	PLP2	152	Homo sapiens	Proteolipid protein 2	1:Experimental evidence at protein level	8.55	0.9841	0.9990	1	1	1	1	1	1	752262	752262	752262	N-term(304.2072)			53032.1875	40968.9844	8535.9424	2599.4373	4261.6479	0.0000	0.0000	0.0000	0.0000	5702.9282	3055.8879	6799.1899	6032.5938	1598.1764	2075.8589	2484.5581	4955.4604	4232.1445
sp|Q12797|ASPH_HUMAN	Q12797	ASPH_HUMAN	ASPH	758	Homo sapiens	Aspartyl/asparaginyl beta-hydroxylase	1:Experimental evidence at protein level	3.30	0.9841	0.9990	1	1	1	1	1	1	305961	305961	305961	N-term(304.2072)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q13362|2A5G_HUMAN	Q13362	2A5G_HUMAN	PPP2R5C	524	Homo sapiens	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	1:Experimental evidence at protein level	1.91	0.9841	0.9990	1	1	1	2	2	2	553554	553554	553554	N-term(304.2072)			54760.2812	96807.2773	27179.9258	14422.7979	28907.3994	8771.8276	10591.7354	9673.0415	10384.7812	19522.7939	26244.7754	30209.9756	49756.2949	16819.2920	14280.8789	12712.1426	20299.4434	23211.6895
sp|Q13568|IRF5_HUMAN	Q13568	IRF5_HUMAN	IRF5	498	Homo sapiens	Interferon regulatory factor 5	1:Experimental evidence at protein level	5.02	0.9841	0.9990	1	1	1	1	1	1	117853	117853	117853				0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q15417|CNN3_HUMAN	Q15417	CNN3_HUMAN	CNN3	329	Homo sapiens	Calponin-3	1:Experimental evidence at protein level	3.95	0.9841	0.9990	1	1	1	1	1	1	543467	543467	543467	1C(57.0215), N-term(304.2072)			37147.6133	54886.8086	22944.3418	4842.0933	10330.0342	14269.7617	0.0000	0.0000	2476.6672	4740.3066	3811.0520	6351.3599	19266.9727	5242.4673	3912.5249	1468.2683	10515.0059	9450.6279
sp|Q4G0N4|NAKD2_HUMAN	Q4G0N4	NAKD2_HUMAN	NADK2	442	Homo sapiens	NAD kinase 2, mitochondrial	1:Experimental evidence at protein level	2.71	0.9841	0.9990	1	1	1	1	1	1	328461	328461	328461	N-term(304.2072)			15670.3057	28707.7090	12551.0479	2368.0105	12687.7393	1871.2700	0.0000	0.0000	1304.8157	7725.4209	5985.5483	17961.6621	16690.6523	4667.9434	2217.3765	2546.1367	11636.3721	7460.0078
sp|Q674X7|KAZRN_HUMAN	Q674X7	KAZRN_HUMAN	KAZN	775	Homo sapiens	Kazrin	1:Experimental evidence at protein level	1.16	0.9841	0.9990	1	1	1	1	1	1	442358	442358	442358	9K(304.2072), N-term(304.2072)			90946.5078	127753.9609	37138.0117	8067.9399	5779.2075	1525.0544	2124.6174	2171.3281	2348.7935	4152.4443	3783.5444	9026.0234	13005.2842	2325.8157	1778.2998	2092.4866	12294.1260	9063.6729
sp|Q6IAA8|LTOR1_HUMAN	Q6IAA8	LTOR1_HUMAN	LAMTOR1	161	Homo sapiens	Ragulator complex protein LAMTOR1	1:Experimental evidence at protein level	7.45	0.9841	0.9990	1	1	1	1	1	1	242679	242679	242679	12K(304.2072), 1K(304.2072), N-term(304.2072)			49213.8828	40475.3359	15500.8115	5226.9858	6267.0400	7656.9736	2646.8245	5182.7798	3747.0977	9244.1279	3362.7310	12636.6250	16666.6758	3999.8157	2808.3960	2949.3621	8887.2812	7941.8032
sp|Q6P161|RM54_HUMAN	Q6P161	RM54_HUMAN	MRPL54	138	Homo sapiens	39S ribosomal protein L54, mitochondrial	1:Experimental evidence at protein level	7.25	0.9841	0.9990	1	1	1	1	1	1	588234	588234	588234	N-term(304.2072)			15487.0410	85861.6406	30619.4629	4246.9316	7867.7837	2491.4272	0.0000	1980.3685	1801.9264	4651.1016	4201.6113	8126.5532	11715.2881	4646.6704	2864.2852	2660.3723	7822.7949	6562.5723
sp|Q6PI78|TMM65_HUMAN	Q6PI78	TMM65_HUMAN	TMEM65	240	Homo sapiens	Transmembrane protein 65	1:Experimental evidence at protein level	4.58	0.9841	0.9990	1	1	1	1	1	1	311241	311241	311241	N-term(304.2072)			14748.8330	22104.5469	32193.9121	3584.7268	7471.5410	1473.7347	0.0000	0.0000	1866.8806	5022.2271	3853.7725	8406.5186	10580.3604	1502.0533	2638.3354	2177.5015	6815.6641	4695.5483
sp|Q6UXB8|PI16_HUMAN	Q6UXB8	PI16_HUMAN	PI16	463	Homo sapiens	Peptidase inhibitor 16	1:Experimental evidence at protein level	2.16	0.9841	0.9990	1	1	1	1	1	1	947025	947025	947025	10K(304.2072), 3C(57.0215), 8C(57.0215), N-term(304.2072)			215034.6562	61107.6602	25169.3770	7242.2202	6001.2280	2324.9829	2037.8723	2894.2458	1824.8024	5962.6152	4731.4355	11059.5830	11088.1768	2440.1763	2791.7122	2574.7266	7623.5859	6935.8511
sp|Q6UXH1|CREL2_HUMAN	Q6UXH1	CREL2_HUMAN	CRELD2	353	Homo sapiens	Protein disulfide isomerase CRELD2	1:Experimental evidence at protein level	4.53	0.9841	0.9990	1	1	1	2	2	2	     0	     0	     0	11C(57.0215), 16K(304.2072), 5C(57.0215), N-term(304.2072)			77819.2793	91386.2422	26532.6309	10736.3101	7410.9443	3090.6617	4047.6116	2466.0127	3375.0767	4985.1589	5483.5854	10916.0610	9587.8716	1303.7405	5311.5830	3491.9790	6382.2600	6239.1030
sp|Q6YP21|KAT3_HUMAN	Q6YP21	KAT3_HUMAN	KYAT3	454	Homo sapiens	Kynurenine--oxoglutarate transaminase 3	1:Experimental evidence at protein level	2.86	0.9841	0.9990	1	1	1	1	1	1	224924	224924	224924	13K(304.2072), N-term(304.2072)			10122.6025	22264.7188	8789.1709	1360.0284	6380.7861	1725.7671	1224.4513	0.0000	3116.0059	5668.0840	4328.6494	6337.0049	12346.6357	2110.3132	2407.7681	2480.1375	7043.5396	7004.6792
sp|Q86W47|KCMB4_HUMAN	Q86W47	KCMB4_HUMAN	KCNMB4	210	Homo sapiens	Calcium-activated potassium channel subunit beta-4	1:Experimental evidence at protein level	7.14	0.9841	0.9990	1	1	1	1	1	1	438398	438398	438398	15K(304.2072), N-term(304.2072)			16557.8828	51281.7539	12148.8105	8579.8721	6227.6074	1256.2159	0.0000	0.0000	1558.8419	4948.8369	4009.3293	5551.7119	8894.7500	2605.6716	2440.1843	2751.2168	7800.9224	6011.9966
sp|Q86WG3|ATCAY_HUMAN	Q86WG3	ATCAY_HUMAN	ATCAY	371	Homo sapiens	Caytaxin	1:Experimental evidence at protein level	3.50	0.9841	0.9990	1	1	1	1	1	1	725546	725546	725546	N-term(304.2072)			34518.2539	70036.4062	19761.6406	8349.7461	27531.9980	2043.5424	4489.9629	2436.5386	6551.9639	28880.7070	11131.4941	71174.3203	41684.6914	12299.0059	8030.0151	4961.1860	18302.9551	18251.6504
sp|Q86XD5|F131B_HUMAN	Q86XD5	F131B_HUMAN	FAM131B	332	Homo sapiens	Protein FAM131B	1:Experimental evidence at protein level	3.61	0.9841	0.9990	1	1	1	1	1	1	222700	222700	222700	12K(304.2072), N-term(304.2072)			12157.7617	25116.3691	9148.2246	1598.0155	7030.3052	0.0000	0.0000	0.0000	2615.3025	3682.0212	3558.4490	16054.3594	15360.7988	2665.5159	4235.4219	2497.6223	9152.9023	5692.5366
sp|Q8IW45|NNRD_HUMAN	Q8IW45	NNRD_HUMAN	NAXD	347	Homo sapiens	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	1:Experimental evidence at protein level	2.88	0.9841	0.9990	1	1	1	1	1	1	229694	229694	229694	10K(304.2072), N-term(304.2072)			16494.2617	35154.2695	16356.5039	4368.0347	15167.9805	2210.6609	0.0000	2589.7268	2863.3826	6456.9360	7002.9956	14981.8574	23010.9453	4036.6838	2873.1992	4065.5005	19161.2402	13214.0586
sp|Q8N1K5|THMS1_HUMAN	Q8N1K5	THMS1_HUMAN	THEMIS	641	Homo sapiens	Protein THEMIS	1:Experimental evidence at protein level	2.50	0.9841	0.9990	1	1	1	1	1	1	247094	247094	247094	14K(304.2072), N-term(304.2072)			17066.0215	61687.1836	45638.2109	12702.1602	13586.6904	1577.2490	0.0000	0.0000	2156.6926	3693.4133	6956.2471	13593.6934	19674.0371	10317.2861	8028.8672	4115.5317	15741.7842	14438.4199
sp|Q8N4Q1|MIA40_HUMAN	Q8N4Q1	MIA40_HUMAN	CHCHD4	142	Homo sapiens	Mitochondrial intermembrane space import and assembly protein 40	1:Experimental evidence at protein level	16.90	0.9841	0.9990	1	1	1	1	1	1	213837	213837	213837	18K(304.2072), 1K(304.2072), N-term(304.2072)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q8NC24|RELL2_HUMAN	Q8NC24	RELL2_HUMAN	RELL2	303	Homo sapiens	RELT-like protein 2	1:Experimental evidence at protein level	3.63	0.9841	0.9990	1	1	1	1	1	1	972664	972664	972664	N-term(304.2072)			82268.3672	120377.1953	46967.3320	14623.5635	7808.8979	2647.1167	4193.4268	1252.7950	2603.8213	6495.4829	5438.7100	9291.7383	11857.4199	2954.9131	6053.7759	4662.7310	12899.9697	11346.4902
sp|Q8NFU3|TSTD1_HUMAN	Q8NFU3	TSTD1_HUMAN	TSTD1	115	Homo sapiens	Thiosulfate:glutathione sulfurtransferase	1:Experimental evidence at protein level	7.83	0.9841	0.9990	1	1	1	1	1	1	853748	853748	853748	N-term(304.2072)			46219.7695	93511.1719	35339.1289	12474.6982	31464.1484	5897.5825	4903.5752	3208.2190	7186.0547	15437.4277	14123.9199	25508.8262	46694.7422	14963.7432	12950.8916	7380.4297	42725.8164	28605.1914
sp|Q8TEA8|DTD1_HUMAN	Q8TEA8	DTD1_HUMAN	DTD1	209	Homo sapiens	D-aminoacyl-tRNA deacylase 1	1:Experimental evidence at protein level	7.66	0.9841	0.9990	1	1	1	1	1	1	549184	549184	549184	N-term(304.2072)			16669.6875	32161.1465	19970.9824	2538.5420	12438.0195	1059.0448	1739.0800	0.0000	2684.4331	2798.2214	6190.2979	10271.7520	22194.9004	6363.8623	2958.1853	5514.8682	10728.9082	11035.8955
sp|Q92520|FAM3C_HUMAN	Q92520	FAM3C_HUMAN	FAM3C	227	Homo sapiens	Protein FAM3C	1:Experimental evidence at protein level	5.29	0.9841	0.9990	1	1	1	1	1	1	203961	203961	203961	12K(304.2072), N-term(304.2072)			29807.4961	74532.5859	32459.4082	7037.6992	8406.5225	4960.0532	1154.2869	0.0000	1493.3123	4212.5518	3784.0044	8804.9824	12653.3594	3056.3967	4040.2170	2707.6501	8700.5859	10139.6436
sp|Q92934|BAD_HUMAN	Q92934	BAD_HUMAN	BAD	168	Homo sapiens	Bcl2-associated agonist of cell death	1:Experimental evidence at protein level	9.52	0.9841	0.9990	1	1	1	1	1	1	271979	271979	271979	16K(304.2072), N-term(304.2072)			9947.3369	46342.7734	49681.5117	3288.0645	3456.2271	1100.7990	1737.6844	0.0000	2567.4021	0.0000	2845.0979	4168.4175	7035.2275	1236.0245	2900.0127	2269.8008	8321.5029	10054.3418
sp|Q969H8|MYDGF_HUMAN	Q969H8	MYDGF_HUMAN	MYDGF	173	Homo sapiens	Myeloid-derived growth factor	1:Experimental evidence at protein level	8.67	0.9841	0.9990	1	1	1	1	1	1	467647	467647	467647	15K(304.2072), 7K(304.2072), N-term(304.2072)			42574.3672	24284.6992	10214.6699	2515.8955	12432.6055	9474.1895	0.0000	1513.6079	0.0000	1601.7847	3841.6108	11461.0205	16146.9795	3822.9832	1182.4479	2965.8179	11876.1934	6444.8140
sp|Q96A57|TM230_HUMAN	Q96A57	TM230_HUMAN	TMEM230	120	Homo sapiens	Transmembrane protein 230	1:Experimental evidence at protein level	9.17	0.9841	0.9990	1	1	1	1	1	1	431558	431558	431558	11K(304.2072), N-term(304.2072)			59028.2422	68922.5859	15430.3096	3148.1208	9144.4443	5580.1187	1806.2936	1465.8318	1532.6754	5772.6719	3713.9688	15826.0107	17217.6445	3526.8552	3607.0366	2405.2454	11299.9053	9566.3311
sp|Q96MZ0|GD1L1_HUMAN	Q96MZ0	GD1L1_HUMAN	GDAP1L1	367	Homo sapiens	Ganglioside-induced differentiation-associated protein 1-like 1	2:Experimental evidence at transcript level	3.54	0.9841	0.9990	1	1	1	1	1	1	323824	323824	323824	N-term(304.2072)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q99436|PSB7_HUMAN	Q99436	PSB7_HUMAN	PSMB7	277	Homo sapiens	Proteasome subunit beta type-7	1:Experimental evidence at protein level	3.25	0.9841	0.9990	1	1	1	1	1	1	529798	529798	529798	9K(304.2072), N-term(304.2072)			54414.5312	117945.6797	34379.9141	11569.2168	41050.9883	12126.1064	4018.8259	3068.8674	6463.1182	14895.8311	10566.9033	36913.8359	49881.3125	16863.6406	7957.7852	11454.2676	34487.5469	27804.0039
sp|Q99726|ZNT3_HUMAN	Q99726	ZNT3_HUMAN	SLC30A3	388	Homo sapiens	Probable proton-coupled zinc antiporter SLC30A3	1:Experimental evidence at protein level	2.58	0.9841	0.9990	1	1	1	1	1	1	1326590	1326590	1326590	N-term(304.2072)			41757.0508	133724.0000	34237.1797	16986.1367	32707.9922	6107.6836	8034.4478	7094.9609	6532.7554	29041.7090	20544.3359	54505.1992	71467.0703	14425.6875	20728.1191	15608.8965	33545.7695	25673.4883
sp|Q99784|NOE1_HUMAN	Q99784	NOE1_HUMAN	OLFM1	485	Homo sapiens	Noelin	1:Experimental evidence at protein level	3.09	0.9841	0.9990	1	1	1	1	1	1	263023	263023	263023	13C(57.0215), 1C(57.0215), 3C(57.0215), N-term(304.2072)			11868.0420	27106.2168	6285.3745	2034.2487	3212.8816	0.0000	0.0000	0.0000	0.0000	0.0000	1743.8621	3829.7637	24159.2891	1857.9058	2362.5173	0.0000	6672.3223	2447.1199
sp|Q99946|PRRT1_HUMAN	Q99946	PRRT1_HUMAN	PRRT1	306	Homo sapiens	Proline-rich transmembrane protein 1	1:Experimental evidence at protein level	4.90	0.9841	0.9990	1	1	1	1	1	1	630266	630266	630266	N-term(304.2072)			23362.6367	135718.8594	29706.6270	7075.3345	17071.8633	2391.2639	2610.4409	1314.0675	3756.8879	7624.9819	6313.8325	11418.3740	53313.5898	14085.0283	9635.2891	11472.5303	25328.3828	14865.7666
sp|Q9BQ69|MACD1_HUMAN	Q9BQ69	MACD1_HUMAN	MACROD1	325	Homo sapiens	ADP-ribose glycohydrolase MACROD1	1:Experimental evidence at protein level	3.38	0.9841	0.9990	1	1	1	1	1	1	553955	553955	553955	10C(57.0215), N-term(304.2072)			21624.2207	67922.6953	25642.8984	7069.7495	21788.9824	2320.5298	2908.3223	1364.5787	5431.0884	6347.6592	8315.3232	16158.8096	58160.4648	15944.5098	9340.9443	4867.3804	15220.8467	12402.6816
sp|Q9BUE6|ISCA1_HUMAN	Q9BUE6	ISCA1_HUMAN	ISCA1	129	Homo sapiens	Iron-sulfur cluster assembly 1 homolog, mitochondrial	1:Experimental evidence at protein level	9.30	0.9841	0.9990	1	1	1	1	1	1	355998	355998	355998	12K(304.2072), N-term(304.2072)			22336.4727	84667.1484	27913.5879	10082.4316	8517.1338	2286.4568	1086.1975	1667.6886	1537.7449	3586.0298	3798.9365	9764.1074	19229.5684	4049.3359	3983.4900	2563.9104	15934.4316	7952.9155
sp|Q9BV79|MECR_HUMAN	Q9BV79	MECR_HUMAN	MECR	373	Homo sapiens	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	1:Experimental evidence at protein level	2.41	0.9841	0.9990	1	1	1	1	1	1	289573	289573	289573	5C(57.0215), 9K(304.2072), N-term(304.2072)			11628.8594	39148.8633	10291.3945	3785.6511	17233.7969	1629.9219	2565.8306	1726.5591	2436.2871	7104.7974	6996.9644	18276.3086	38011.7227	9493.0850	7179.2402	4767.1294	18554.4258	13580.0459
